,Unnamed: 0.1,Unnamed: 0,title,description,category
426190,426190,7309,Toy Vault Rabbit with Big Pty Teeth Slippers--Fits Ages 14+,"Monty Python: Killer-Karnickel Hausschuhe Plush is a Accessorie for 1+ players ages 14 years+ from Toy Vault Monty Python;Plusch;Merchandise Killer rabbits for your feet, People love fuzzy bunny slippers but how does the rabbit feel about it? Now you can terrorize small pets and dust bunnies around the house with this high-quality, cuddly, fluffy footwear. Watch the killer rabbit's sharp-toothed mouth bounce up and down as you walk, these slippers are suitable for a wide range of foot sizes but they best fit men's sizes 8-12. Why not slip into a pair of your own?",clothing_shoes_and_jewelry
457535,457535,18649,Clear-Coat Full Body Scratch Protector for the Nokia N97 Mini,Clear-Coat Full Body Scratch Protector for Nokia N97 Mini,cell_phones_and_accessories
349197,349197,10333,LG Electronics 6871JB1423N Refrigerator Main PCB A,"LG 6871JB1423N Refrigerator Main PCB Assembly. for use with the following LG Electronics models: LFC25760SB, LFC25760ST, LFC25760SW, LFC25760TT, GRB218JSCA, LFD25860SB, LFD25860ST, LFD25860SW, LFD25860TT, GRF258JSKA, GRB258JQCA, GRB258JVCA, GRF258JTKA, LFC21760ST, LFD21860ST, GRF218JSKA, GRB258JSCA, GRF258JQKA, GRF258JVKA, GRB258JTCA. Refer to your manual to ensure ordering the correct, compatible part. LG 6871JB1423N Refrigerator Main PCB Assembly. For use with the following LG Electronics models: LFC25760SB, LFC25760ST, LFC25760SW, LFC25760TT, GRB218JSCA, LFD25860SB, LFD25860ST, LFD25860SW, LFD25860TT, GRF258JSKA, GRB258JQCA, GRB258JVCA, GRF258JTKA, LFC21760ST, LFD21860ST, GRF218JSKA, GRB258JSCA, GRF258JQKA, GRF258JVKA, GRB258JTCA. Refer to your manual to ensure ordering the correct, compatible part.",appliances
33261,33261,13253,Marineland Elephant Ear Mushroom Red,"SeaGarden Anemones bring the exotic beauty of the world's coral reef and tidepool communities to vibrant life in your aquarium. These dazzlingly detailed replicas sway to the gentle currents, and their highlighted tips glow in the dark, creating a truly unique visual effect. Each SeaGarden Anemone is attached to a weighted resin-rock base to ensure ""drift-free"" placement in any aquatic substrate. Safe for all aquariums. Choose from 12 different variations.Dimensions 6-1/2"" L x 5"" W x5-3/8"" H  ",pet_supplies
204150,204150,424,"I Love Toy Trains, Part 2 VHS",1994 - 30 minutes,cds_and_vinyl
47378,47378,7364,Laura Geller New York Color Drenched Lip Gloss Pink Lemonade,A luxurious lip gloss that gives high shine Intensely pigmented for pure saturated colorCombines the richness of a lipstick with vinyl finish plus the softness of a glossLoaded with a subtle coffee aroma to energize the sensesNon-sticky & comfortable to wear,luxury_beauty
419175,419175,294,Squirting Nickel,A fun gag to amuse your family and friends.,clothing_shoes_and_jewelry
393462,393462,14591,The Last of the Mohicans VHS,"Randolph Scott enjoys one of his best roles as frontier scout Hawkeye, in this thrilling adaptation of James Fenimore Cooper's classic adventure novel. This film portrays the conflicts between the British Army and Colonial settlers during the brutal French and Indian War circa 1757.  Hawkeye is aided by his Indian friends Chingachgook (Robert Barrat) and Uncas (Philip Reed), Chingachgook's son; who represent the last two survivors of the Mohican tribe. Bruce Cabot plays the demonic Huron Indian, Magua, to hissable perfection.  Starring Randolph Scott, Binnie Barnes, Heather Angel, Hugh Buckler, Henry Wilcoxon, Bruce Cabot, Philip Reed and Robert Barrat.",movies_and_tv
371927,371927,13060,Firestone 2350 Ride-Rite Air Spring Kit - Rear,Firestone Ride-Rite Air Helper Spring Kit Rear 04-08 Ford F-150 2WD/4WD (Not FX2) (W217602350),patio_lawn_and_garden
129060,129060,16873,"Putco 49882 BOSS 2.5"" Diameter Locker Side Rails","An oversized Locker Rail with 2.5"" tubes and castings. Solid die cast construction on bed rail ends allows for extreme tie down strength. Easy no drill installation via stake pockets. Stainless tubes are chromed to 44 hour CASS and tubes and rails are backed by a lifetime warranty.",automotive
204938,204938,1212,Have Moicy! on Demand,No Description Available.Genre: Folk MusicMedia Format: Compact DiskRating: Release Date: 17-JAN-1992,cds_and_vinyl
404046,404046,5172,MIDI Solutions R8 8-Output MIDI Controlled Relay Array (Standard),"The MIDI Solutions R8 8-output MIDI-Controlled Relay Array provides eight contact closures which can be programmed to open or close in response to MIDI events. Event types are programmable and include Note, Control Change, Program Change, and System Exclusive messages (up to 20 bytes/System Exclusive message). All settings are retained even after power is removed from the unit. Fast reed relays are used for a response time of less than 2ms. Relay contacts are rated at 0.5A. Contacts are made available via connections to the tip and sleeve of 1/4 inch mono phone jacks.",musical_instruments
156522,156522,13617,"10-24 Nylon Insert Locknuts / Light Hex Standard / 18-8 Stainless Steel / 2,000 Pc. Carton",10-24 Light Hex Standard Nylon Insert Locknuts / 18-8 Stainless Steel,industrial_and_scientific
345679,345679,6815,Whirlpool 22003483 Drive Belt for Washer,"This is a genuine replacement part. Whirlpool 22003483 Drive Belt for Washer. Works with models: MAV4057AWQ, MAV5000AWW, MAV6257AWQ, MAV6000AWW, MAV5057AWW . Genuine replacement part.",appliances
294910,294910,16063,My Miracle,"CD Packaged in thin plastic sleeve.

Track Listing:

Monument,
My Miracle,
Living Water,
I Surrender,
Angels,
I Know I'm Healed,
I Stand and Worship You,
Please Rain Down,
Send Your Mighty Power,
I Need Thee",digital_music
343667,343667,4803,Whirlpool Part Number 67211-1: ENDCAP- SH,Whirlpool Part Number 67211-1: ENDCAP- SH,appliances
290487,290487,11640,We Three Kings: Jimi Hall At the Rhodes Piano,"10 tracks: jingle bells * deck the halls * joy to the world * we three kings * adeste fidelis * here we come a-wassailing * o holy night * i heard the bells on christmas day * noel, noel * go tell it on the mountain",digital_music
231129,231129,7400,Goody Lift Comb (Pack of 2),Quality Comb for various styling needs.,all_beauty
377116,377116,18249,"Rubber Brush Outdoor Mat 16"" x 24",This all-rubber mat features thousands of flexible rubber fingers that yield a reflexive scraping motion when pressure is applied. Recommended for high-traffic outdoor entrances. Made in the USA with top quality rubber. Ideal for single door entrances. Other sizes available at StopDirt.com.,patio_lawn_and_garden
334468,334468,15613,Fanmats Missouri Tigers Starter Mat,"Your den, bedroom, or office is not complete until you add the NCAA starter mat from Fanmats to the decor. Built to last, the 100% nylon carpet boasts non-skid Duragon latex backing and is Chromojet-painted in the team colors. The mat is decorated with the colorful team logo.",sports_and_outdoors
199809,199809,16089,Flavas: Bike Date Liam and Happy D.,Hit the high road to your next hip-hop hot spot with Liam and Happy D.,toys_and_games
338959,338959,95,Pfaltzgraff Delicious 10-Inch Enamel on Steel Burner Cover,Handpainted Apples and Cherries on an 10-InchEnamel on Steel Burner Cover,appliances
354640,354640,15776,GE WD21X10529 Machine Control Cood,This is an O.E.M. Authorized part . This is an authorized aftermarket product. Fits with various WD21X10529 brand models.,appliances
428431,428431,9550,"NOVICA Red Alpaca Blend Shawl, Fire'","NOVICA, in association with National Geographic, works together with talented artisan designers around the world to produce stunning, keepsake treasures. Our mantra is to spread global happiness, so rest assured - well do everything we possibly can to ensure youre a happy customer.About this item: Peru's Alfredo Falcon creates this scene-stealing shawl from a luxurious alpaca blend, unparalleled for lightweight warmth. Elegant and versatile, it is a must for the winter wardrobe. 38.0"" L x 45.0"" W 75.0"" LDo not use a dryerDry clean or hand washLay flat to dryTextile softness: Soft -- this item has been made with natural fibers that are soft to the touchAbout our Artist: I was born in the capital of Peru on August 7, 1968. When I was but a small child I learned from my parents the best weaving techniques  like me, they had learned them from their own parents. This makes us a family entirely devoted to the world of textiles, and we have been for generations. Nowadays I combine weaving by hand and on classic machinery, remaining true to Inca and colonial motifs. I would like for the world to receive through my work high quality products, with modern colors and traditional motifs. I hope you enjoy them! I have been working with Novica for seven years. My workshop is located in the district of Huaycan, a place of refuge for many immigrants who fled central Peru during the times of terrorism. Before collaborating with Novica, I had a small workshop in an industrial park that the government gave me on credit, a place where small producers could work with dignity. It wasn't properly roofed, and its production capacity was limited. I designed and made clothing. My market was limited to a few local shops, and to a single small foreign client who purchased my work from time to time. After joining Novica, my sales increased significantly, and my workshop began to...",clothing_shoes_and_jewelry
348641,348641,9777,Whirlpool 8206230A Charcoal Filter,This charcoal filter removes odor while cooking. This charcoal filter removes odor while cooking.,appliances
188379,188379,4659,Ravensburger Scotland Yard - Family Game,"London's famous police detectives are put to the test with this family-friendly board game. One player assumes the role of the mysterious fugitive Mister X, who is on the run in London, using the city's vast transportation network to elude the detectives in hot pursuit. The goal of the game is for Mister X to stay hidden until the very end, while the rest of the players, acting as detectives, work in concert to catch him.    Players assume the roles of Scotland Yard detectives or the elusive fugitive Mister X .  The game board features London's Transportation network - taxis, buses and underground trains - that the detectives must travel to find Mister X.   Taxis, Buses and Trains A game for would-be sleuths who love a good adventure, Scotland Yard has players assuming the role of Scotland Yard's famous detectives, who are pursuing the mysterious fugitive Mister X, on the run in London. The detectives work cooperatively to catch Mister X, utilizing London's network of taxis, buses and underground trains. The player in the role of Mister X spends the game evading capture, occasionally making appearances and leaving behind his discarded transit tickets as clues to his whereabouts.  A Cooperative Strategy Game Detective players have 22 moves in which to capture Mister X, who is invisible throughout the game except for the few times he reveals his location. This family game is big on teamwork and promotes cooperation, strategic thinking and communication skills. Scotland Yard also reinforces goal-setting and enhances turn-taking, memory skills and persistance. The setting of the game provides an educational introduction to London and its key transportation modes and familiarizes players with the famed Scotland Yard detectives.  Hunting Mister X  A family game that engages children and adults alike, Scotland Yard provides an opportunity for multiple generations to interact with one another and work together in a socially-positive environment that provides conversation starters to further engage players. This is a tactical game that connects players in a unique way and changes dramatically, depending on the role you play.  What's In The Box? 1 game board, 6 playing figures, 1 logbook, 20 cards, 125 tickets, 1 set of detailed instructions. Let's Play Scotland Yard! Which player will have the roll of the elusive Mister X? One player will function as Mister X, with the other players being Scotland Yard detectives searching for him throughout Central London. The starting station cards are shuffled and everyone draws one to determine where they will start the game. Every move is either by taxi, underground, or bus. Mister X moves first and writes his move in his travel log, indicating what method of transportation he used but not where he moved. Then, each detective makes their move, cooperating with the other detectives in an effort to close in on Mister X. Mister X only reveals where he is at certain points in the game, and the chase continues until one of the detectives moves to the place where Mister X is. In this case, the team of detectives has won the game. But, if Mister X makes 24 moves without being caught, he himself wins!",toys_and_games
40908,40908,894,eShave Nickel Plated T Shaving Stand,"The classic silhouette of the T Shaving Stand, with its two arms at different heights, is designed to hold both your eShave razor and shaving brush. Adds elegance and style to any counter top. It is a perfect complement to eShave's artistically designed razors and 100% badger hair shaving brushes. eShave T Shaving Stands - Nickel Plated With this simple belief, eShave was born. It all started in 1996 when Danielle Malka met with famous barbers in London. They picked her curiosity when talking with such enthusiasm about their clients shaving experience; nothing that compared with her husbands nor any man she knew. With them she captured the essence of wet shaving and developed the 3 steps of shaving program to bring the barbers experience home to every man and created eShave as a shaving solution to all men shaving issues. eShave is still today a unique modern brand that appeals to today men with signature scents, light textures, clean and high quality ingredients.    Shave after the shower or use a hot towel: The hot water loosens up pores and softens the hair for a closer shave. Lightly rub eShave Pre Shave Oil onto skin to provide protection and allow the razor to glide easily. Lather up a dab of Shaving Cream with a brush or your fingers to soften and raise the hair away from the skin for a closer shave. Shave with the grain using your eShave Razor. Forget pressure. Change blade often and let it glide over prepared skin in the direction of hair growth. For stubborn hair, reapply Shaving Cream and repeat shaving in a sideways motion using small strokes to prevent irritation. Around the neck area, where hair grows in different directions, run fingers along neck to feel and follow the pattern. Rinse and rub moistened eShave Alum Block against the skin to close the pores and cleanse the skin. Pat skin dry and apply eShave After Shave Soother for maximum comfort.",luxury_beauty
401935,401935,3061,DiMarzio DP200 Steve Morse Pickup Black Bridge,"Generate Steve Morse's sound with this DiMarzio pickup. This clean, articulate pickup generates Steve Morse's sound.",musical_instruments
351659,351659,12795,"True Black Deep Well Bottle Cooler, 24 Cases / 12 oz Cans","True Black Deep Well Bottle Cooler, 24 Cases / 12 oz CansTrue horizontal bottle coolers are designed using the highest quality materials that provide years of service. The oversized refrigeration system holds temperatures between 33°F and 38°F. Forced air cooling keeps the temperature balanced throughout the cabinet. The exterior is heavy duty black vinyl laminate on the front and sides, and the counter top is stainless steel. The evaporator is epoxy coated to prevent corrosion. The product is NSF-7 approved for packaged and bottled product. This unit includes a removable bottle cap opener and cap catcher.Width: 49-5/8"" Depth: 26-5/8"" Height: 33-3/8"" Weight: 265 lbs Capacity: 16.5 cases / 12 oz bottles or 24 cases / 12 oz cans 1/3 HP 8.1 Amps NEMA config: 5-15P heavy duty stainless steel NSF-7 compliant Ecomate insulation Zero ozone depletion (ODP), zero global warming potential (GWP) CFC free 134A refrigerant Refrigeration system holds temperatures between 33°F and 38°F Color: Black Door locks standard 3 PVC coated bin dividers 2 stainless steel lids 5 year condenser warranty Unit is pre-wired for 115/60/1 phase 15 amp outlet Made in the USA Model #: TD-50-18 888890",appliances
69761,69761,17598,Open Office 3.3 for Windows- Reads and writes MS Word Excel Powerpoint files,"Why spend hundreds of dollars, when you can get all the same functionality as Microsoft Office by using OpenOffice as your Office suite.

OpenOffice is created by and used by thousands of programmers around the world, and has a global user base in the millions.  Capable of reading from and writing to all of the current MS Office file formats, plus nearly 100 other formats, OpenOffice is clearly the superior choice.  Also, you can install it on as many computers as you want, legally!

-- Also included on this CD --

The GIMP - GNU Image Manipulation Program - Considered by many to be equally as good as Adobe Photoshop, GIMP is the forerunner of Open-source graphical programs.  Once you get the hang of the layers system in GIMP, creating original artwork begins and ends with your skill level!

Scribus - A very powerful and versatile desktop publishing program.  It is known for its broad set of page layout features, comparable to leading commercial applications such as Adobe PageMaker, PagePlus, QuarkXPress or Adobe InDesign.

Avast Antivirus - One of the leaders of the free Antivirus packages, if not THE leader.  Protect your system from viruses, malware, etc.. without paying through the nose.  Many consider this every bit as good, if not better than, Norton, McAfee, etc...

Primo PDF Maker - Got a document that you want to commit to a shareable, clean format for digital storage?  Don't pay 100's of dollars for Adobe Acrobat, just use Primo PDF!

------------------------------------------------

Your CD is professionally produced, and includes an easy-to-use Autorun Menu System that makes installing your applications simple.",software
308933,308933,10080,Olde Thompson 20-Jar Stainless-Steel Square Spice Rack,20 Jar Stainless Square Revolving Carousel Spice Rack from Olde Thompson is filled with 20 of your favorite spices,home_and_kitchen
363668,363668,4801,"Takiron Steel Stakes 0.314 Inches x 4 Feet, Bundle of 10 Stakes","Ring spacing is closer tougher near the bottom and increases as it goes up, to coincide with a plant's grow. Double rings every 50 cm help you insert to an even height. Waterproof, heat-sealed caps stay in place. The look and feel of bamboo, with the strength of steel. Durable heavy gauge steel in all-weather, polyolefin resin coating won't warp, rot or rust. Resists chemicals and lasts for yrs. They are in an attractive ""plant green"", to blend in with foliage. Priced per bundle of 10.",patio_lawn_and_garden
236566,236566,12837,12 pcs Brand professional makeup brushes Essential Kit Pinceis maquiagem SGM Mrs bunny make up brushes With Cup Holder (Blue),"Features: 1. Professional cosmetic tool with full range of brushes 2. The brushes have High Quality. It is made of superior and safe material, it is good for your skin and it is also very convenient for you to use. 3. Fine synthetic hair, goat hair 4. 12 pieces brushes in one set, different brushes for your selection, meet your different needs 5. We promise that we will give all of female the best quality brushes with the best reasonable price. To help you be the best of yourself. This perfect makeup set is the best gift for yourself and your friends! Take it and you won't be disappointed! Material: Plastic & PU Leather Length of cup holder: approx 17cm diameter of cup holder: approx 6.5cm Total Weight: 287g Net weight: 100g Package includes: A set of 12 brushes 1x pu leather cup holder 12 Goat Hair Makeup Brush Kit Makeup Tools Set Brand Makeup Brush Professional in Cream Cup Barrel Leather Bag Directions: Featured barrel bag bring a lot of convenience when you are doing the makeup. Soft leather material is applied to make the Barrel bag. Matte natural timber handle plus antirust tube will keep the kit in good condition for a long time. The hair and pony hair were applied in the bristle, which have best adhesion to mineral texture. All Brushes include in this set: 1. Powder Brush 2. Flat multi-use Brush 3. Blush Brush 4. Foundation Brush 5. Angle Eye Shadow Brush #1 6. Eye Shadow Brush #2 7. Soft Eye Shadow Brush #3 8. Flat Eye Shadow Brush #4 9. Lip Brush 10. Concealer Brush 11. Eyeliner 12. Eye Brow Brush",all_beauty
362191,362191,3324,Grass Gator 5600 Trims & Edges Replacement String Trimmer Head,"The Grass Gator Trims and Edges replacment trimmer head- Light Duty. Fits 99% of all gas trimmers. Uses line from .065 to .105 diameters. 4 cutting lines. Light weight design #5600. The Grass Gator 5600 Trims & Edges replacement trimmer head will fit 99% of all gas trimmers, including: Ryobi, John Deere, Echo, Stihl, Homelite, Bolens, Weedeater, Craftsman, Toro, Cub Cadet, Troy Bilt, Poulan, and most other makes. It is designed for most gas trimmers, and is easy to install, without tools, and is easy to use. The Grass Gator Trims & Edges is a 4-line fixed trimmer head that eliminate spool winding and tangled lines. The Trims and Edges uses .095 to .105 diameter trimmer line, and is an excellent tool for both trimming and edging.",patio_lawn_and_garden
90227,90227,18056,Sizzix 654989 Originals Die Swirls by Stu Kilgour,"Easily embellish and enhance any creative task with the first Sizzix dies. Sizzix originals dies feature our steel-rule construction to make amazing shapes for any occasion and can cut up to three sheets of cardstock, as well as fabric, fiber, foam, magnet, metallic foil, photographs, sandpaper (in limited use) and vellum.",arts_crafts_and_sewing
123666,123666,11479,Bestop 52562-15 Strapless Bikini Black Denim Top for 1995-1998 Suzuki Sidekick/Geo Tracker,"Bestop Strapless Bikini Top eliminates the old-style strap attachment found on older vehicles for a clean, modern installation. Helps protects interior from the sun as well as summer showers. Same fabric as used in Bestop soft tops. Reinforced edges eliminate flapping. Industrial-grade buckles and webbing. Attaches directly to the sport bars for sleek, clean look. Requires Bestop Windshield Channel for installation. Targa-style covers front cockpit area over driver/passenger seats. Safari-style covers entire interior back to the rear sport bar uprights. 1-year Limited Warranty.     Targa-Style Header Bikini Tops: - Attaches to windshield with Bestop no-drill windshield channel (sold separately). - Designed for use with or without factory door surrounds. - Premium fabric maintains shape in any temperature, is mildew-resistant, contains UV-inhibitors, and offered in factory original colors. - High-strength thread at all stress points for durability. - Industrial-grade webbing helps minimize flapping. - Heavy-duty composite buckles and fittings for long life. - Optional Mesh (Color Code 11) material is tear-resistant. Header & Strapless Safari Bikini Tops: - Attaches to windshield with a Bestop windshield channel (sold separately); header-style Bikinis use no-drill windshield channels. Strapless Bikini Top: - Attaches directly to sport bars for super-clean look. - Heavy-duty composite buckles and fittings. - Premium fabric maintains shape in any temperature, is mildew-resistant, contains UV-inhibitors, and offered in factory original colors. - High-strength thread at all stress points ensures durable construction. Traditional Bikini Top: - Premium fabric maintains shape in any temperature, is mildew-resistant, contains UV-inhibitors, and offered in factory original colors. - Industrial-grade webbing gives tight fit; high-strength thread at all stress points; heavy-duty composite buckles and fittings for long life. - Kit includes fabric assembly and footman loops for rear strap tie-down.",automotive
410001,410001,11127,King David 14C-SBL 14-Inch Conducting Baton,"For over 60 years, King David Conductor Batons have been the baton of choice for literally thousands of conductors. Symphony conductors, band leaders and choral directors specifically request the baton because it is consistent in quality, balance and weight. Conductors experience less fatigue with King David batons due to their light weight and balance. The shafts are made of the finest straight grain birch and maple - kiln dried to prevent warp. The white high luster coating is heat set to provide long service and lasting beauty.",musical_instruments
84954,84954,12783,Jablonex Czech Seed Beads 6/0 ''Tortoise'' Mix Brown Beige (1 Ounce),"Czech glass seed beads are some of the highest quality and most uniformly sized beads in use today. Great for bead weaving techniques that require multiple passes of thread through each bead. Color: Clear Tortoise Mix--in shades of natural, beige, ochre, gold topaz, amber and espresso brown. Measurements: Size 6/0, which can range from 3.8-4.2mm in diameter with 3mm bead length. 8.3 beads per inch. The holes are about 1mm in diameter. Quantity: 1 ounce (approximately 440 beads).",arts_crafts_and_sewing
374780,374780,15913,Gas Cap For Tecumseh 35355,Gas cap fits most Tecumseh tanks with 1 15/16 OD opening,patio_lawn_and_garden
293169,293169,14322,Read My Lips,Birds of a Feather * Wake Nicodemus * I Will * Brontosaurus * Alan * All I Want * Sloe Gin * Harlem on my Mind * Anyone Who Had a Heart,digital_music
116319,116319,4132,Highland 1009500 Silver Stainless Steel Splash Guard - 2 Piece,Highland Silver Stainless Steel Splash Guards are designed to prevent mud and small rocks from being thrown up against the body of the vehicle or from being thrown at a following vehicle. They are made from heavy gauge steel for maximum style and protection. These splash guards include mounting hardware for easy installation and are backed by limited lifetime warranty.,automotive
309768,309768,10915,Waterford Religious 5-1/2-Inch Cross,"Standing 5-1/2-inch tall, the Religious Cross is a timeless symbol of faith and tradition. Featuring starburst and fanned cuts, this beautiful crystal collectible is a radiant expression of belief and looks beautiful on any desk, vanity or shelf. Combine quarter cup ammonia with a mild lemon detergent. Rinse in clean water and air dry on a rack. Clean vases and decanters by filling them half-full with moderately hot water, a small amount of mild detergent, two tablespoons of white vinegar or ammonia and 1/2 cup uncooked rice. Swirl the rice around for a few minutes to remove residue. Waterford has been making renowned crystal pieces for more than 200 years, and they have drawn those centuries of experience to design pieces that often carry rich symbolic meaning. Waterford's 5-1/2-inch Religious cross is an inspired piece of devotional iconography, a thoughtful gift for commemorating important Christian occasions such as christenings, confirmations, or Easter. Other Waterford crystal crosses include the Medieval, Celtic, and 8-inch Standing Crosses. The Religious cross rises up from a small, two-tiered pedestal. Both the upright and the arms of the cross are gently contoured, and the three finials end in three-pointed tips; repetition of the number three is symbolic of the Trinity. Sprays of leaf cuts fan out from the center of the cross, simulating light, and an eight-rayed star sits at the central junction of the cross. The size of the cross makes it suitable for a night table or small devotional altar. To preserve the clarity of crystal and to avoid scratches, do not wash Waterford crystal in the dishwasher; harsh detergent and excessive heat could permanently etch surface of glass. Wash with a mild liquid soap in warm (not hot) water. Certain water may leave a lime or mineral deposit on the crystal; if that happens, vinegar on a soft, nonabrasive cloth will help remove the deposit. Rinse with warm water and polish with a lint-free cloth. Edges and rims are delicate; do not store upside down or place upside down on a draining board. Crystal can focus sunlight into a concentrated beam that could potentially scorch rugs or furniture, so do not store or display in direct sunlight. The Religious cross measures 5-1/2 by 3-3/4 inches. --Garland Withers",home_and_kitchen
338002,338002,19147,"Panaracer Smoke Classic Folding Bead Tire, 26 x 2.10-Inch","Panaracer Smoke Classic Tire 26 x 2.10 Aramid Bead, Black.The rear Smoke Classic's 3D knobs lay down climbing and braking grip. The rear Smoke Classics 3D knobs lay down climbing and braking grip, while the front Dart Classics arrow shaped tread will never steer you wrong.",sports_and_outdoors
230461,230461,6732,Amrita Aromatherapy Benzoin Resinoid 50% 10 ml,Benzoin resinoid 50% 1/3 oz 10 ml Country of origin: Siam Botanical Name: Styrax benzoe&nbsp; 100% pure therapeutic quality essential oil. Caution: Use by the drop. Keep out of reach of children.,all_beauty
422926,422926,4045,Timex Women's Rush Watch 53741,"Green poly resin strap, Resin case with metal top plate, easy to read analog dial, mineral glass lens, indiglo night light, quick date feature, water resistant 50 meters.",clothing_shoes_and_jewelry
336675,336675,17820,Dick Martin Sports Scooterboard,"This safety Scooter Board has handles for children to grip as they roll and scoot a safe 3-1/2 off the ground. Heavy duty with non-marring double ball bearing swivel casters. 12"" Sq. Ages 3 yrs. +. 175 pound weight limit.""",sports_and_outdoors
314192,314192,15339,Villaware 4-Cup Thermal French Press,"VillaWare's insulated French press coffee maker is perfect for lazy Sunday mornings: It keeps coffee hot for up to an hour thanks to the insulating foam around the glass interior, and the chrome finish on the plastic exterior makes the carafe a pretty addition to the table. This French press is easy to operate, and the stainless-steel plunger includes a feature that allows you to open and close the pouring spout. A translucent side window marked with cup measurements allows you to make just the number of cups you want. --Margo Schneider",home_and_kitchen
196928,196928,13208,KNEX Screamin Serpent Roller Coaster,"You're the builder and operator of this huge ""steel"" style modern roller coaster replica from K'NEX. The world's smallest real roller coaster, the Screamin' Serpent has 23' of fast twists, hairpin turns and gravity-defying loops. It also features realistic coaster sounds and a clanking, motorized chain lift. Rider figures that press into the seats and cars are included. Follow the instructions to build the full-size, 3 ft.- high coaster. Or, put together the smaller version, the Screamin' Serpent Junior, for a wild ride that sends riders zooming through a series of canopies. 1,283-pc. kit. Uses 2 AA and 3 AAA batteries (not included). Ages 9 and up. Made in USA.",toys_and_games
173146,173146,10233,Thai Sriracha Sauce - Shark Brand 7oz.,"This is our favorite sriracha sauce because it's one of the original classics that's been sold for years in Thailand. Made in the Sriracha region of Thailand. It's the real thing--what the Thai people eat--and it's all natural without preservatives or artificial colors. Shark brand has a good mix of chile heat, and sugar/garlic/vinegar overtones to make it tangy and a bit sweet. chile, water, sugar, garlic, salt, vinegar Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.",grocery_and_gourmet_food
